"Line Item Text","Category"
"Zomato order #3452, Tandoori momos and cold drink ₹280","Food"
"Uber ride from work to home $12.50","Travel"
"BSNL Broadband monthly bill - Aug ₹750","Utilities"
"PVR Cinemas: ticket for Oppenheimer, 2 adults ₹600","Entertainment"
"Apollo Pharmacy: Paracetamol & Cough Syrup $15.75","Health"
"DMart: household groceries and toiletries ₹1245.50","Groceries"
"Coursera subscription renewal for Python course $49.00","Education"
"Amazon.in order #56789: Wireless Mouse ₹799","Shopping"
"Electricity Bill payable to TNEB ₹1500","Utilities"
"Spotify Premium subscription fee ₹129","Entertainment"
"Dr. Sharma - follow up appointment $30","Health"
"Netflix monthly charge $14.99","Entertainment"
"Swiggy order - pizza and drink ₹450","Food"
"Ola Auto ride to market $3.50","Travel"
"Vodafone prepaid recharge ₹199","Bills"
"Big Bazaar: rice, dal, oil ₹980","Groceries"
"Udemy course purchase: Data Science Fundamentals $10.99","Education"
"Flipkart order: T-shirt and jeans ₹1299","Shopping"
"Water bill payment for July ₹450","Utilities"
"Dominos: 2 medium pizzas, cheesy bread ₹850","Food"
"Bus ticket to Bangalore ₹800","Travel"
"Airtel Postpaid Bill ₹599","Bills"
"Reliance Fresh: vegetables & fruits ₹350.50","Groceries"
"Skillshare membership renewal $15","Education"
"Myntra order #2134: sneakers ₹2500","Shopping"
"Cinema ticket for Barbie $10","Entertainment"
"Clinic visit and medecine $25.50","Health"
"McDonald's: Big Mac meal ₹280","Food"
"Local taxi from airport $25","Travel"
"Gas bill - July ₹480","Utilities"
"Starbucks: coffee and muffin ₹200","Food"
"Gym membership fee ₹1500","Health"
"Bookmyshow tickets for Leo ₹500","Entertainment"
"LIC premium payment ₹3500","Bills"
"Grocery shopping at kirana store ₹750","Groceries"
"BYJU'S subscription ₹1800","Education"
"Zara: summer dress ₹1999","Shopping"
"Dental checkup and cleaning $50","Health"
"Biryani By Kilo order #543: mutton biryani ₹450","Food"
"Train ticket from Delhi to Jaipur ₹1200","Travel"
"Amazon Prime Video subscription ₹149","Entertainment"
"Phone bill (Jio) ₹399","Bills"
"FreshToHome: fresh fish ₹250","Groceries"
"Tutor fee for math lessons ₹1000","Education"
"SHEIN order: accessories ₹800","Shopping"
"Physiotherapy session $40","Health"
"KFC bucket meal ₹600","Food"
"Auto rickshaw fare ₹80","Travel"
"Internet bill payment ₹500","Utilities"
"Inox Cinema: 2 tickets, popcorne ₹700","Entertainment"
"Cure.fit subscription ₹2000","Health"
"Bigbasket order: weekly groceries ₹1100","Groceries"
"Duolingo Plus monthly fee $6.99","Education"
"Nykaa order #987: lipstick and foundation ₹899","Shopping"
"Prescription meds from local pharmacy $20","Health"
"MTR Restaurant: dosas and coffee ₹350","Food"
"Rapido bike taxi ₹60","Travel"
"Water & sewage bill ₹350","Utilities"
"Hotstar subscription ₹899","Entertainment"
"Doctor's visit at City Hospital $75","Health"
"Groceries from More Supermarket ₹500","Groceries"
"Chegg study subscription $15.95","Education"
"H&M order: two shirts ₹1499","Shopping"
"Zomato pro membership ₹99","Miscellaneous"
"Subway: footlong sub and drink ₹300","Food"
"Local bus ticket ₹15","Travel"
"Tata Sky DTH recharge ₹400","Bills"
"Grocery run at Reliance Fresh ₹600.25","Groceries"
"Vedantu tuition fees for science $25","Education"
"Pepperfry: side table ₹2999","Shopping"
"MRI scan at diagnostics lab $200","Health"
"Pizza Hut: family meal deal ₹950","Food"
"Airport shuttle bus ₹150","Travel"
"Postpaid Mobile Bill - BSNL ₹249","Bills"
"Vegetables from local vendor ₹200","Groceries"
"Library fine for overdue books ₹50","Education"
"Adidas: sports shoes ₹3500","Shopping"
"E-pharmacy order: vitamins ₹450","Health"
"Paradise Biryani: chicken biryani ₹350","Food"
"Inter-city bus ticket $20","Travel"
"Gas cylinder refill ₹950","Utilities"
"Amazon Fire Stick purchase ₹2500","Entertainment"
"Blood test at SRL diagnostics ₹800","Health"
"Kirana store shopping ₹300","Groceries"
"Khan Academy Gold subscription $10","Education"
"Westside: scarf and blouse ₹1100","Shopping"
"Medical checkup at clinic ₹600","Health"
"KFC burger and fries ₹250","Food"
"Train travel to hometown ₹400","Travel"
"Water Bill for flat #12 ₹420","Utilities"
"Airtel Xstream Fiber bill ₹799","Bills"
"Big Basket: fruits and juices ₹550","Groceries"
"School fees for October ₹3000","Education"
"Flipkart: headphone purchase ₹1899","Shopping"
"Dentist appointment ₹700","Health"
"Swiggy instamart order: milk, bread ₹150","Groceries"
"GoAir flight ticket to Mumbai ₹3500","Travel"
"Jio Fiber bill payment ₹999","Utilities"
"Amazon Prime subscription ₹1499","Entertainment"
"Gym membership renewal ₹2500","Health"
"Weekly market vegetables ₹200","Groceries"
"Tutoring session for physics $25","Education"
"Myntra order: jacket ₹2800","Shopping"
"Hospital bill for checkup ₹1500","Health"
"Starbucks coffee and bagel ₹280","Food"
"Bus pass for local commute ₹500","Travel"
"Electricity board bill, apartment no. 4 ₹1200","Utilities"
"Amazon Music subscription $7.99","Entertainment"
"Apollo Hospital consultation fee ₹900","Health"
"Fresh produce from local market ₹180","Groceries"
"Coursera course fee $59","Education"
"Zara: shoes and belt ₹2200","Shopping"
"Optician visit and glasses purchase $150","Health"
"Pizza from Dominoes ₹399","Food"
"Petrol for car ₹1500","Travel"
"Jio Prepaid Recharge ₹239","Bills"
"Grocery shopping at Safal store ₹340","Groceries"
"Library books subscription ₹200","Education"
"Flipkart order: book set ₹599","Shopping"
"Therapy session $60","Health"
"KFC family bucket meal ₹800","Food"
"Ola ride to city center ₹120","Travel"
"Mahanagar Gas bill ₹650","Utilities"
"Movie night on rented movie from Apple TV ₹250","Entertainment"
"Doctor's prescription refill $18.50","Health"
"Daily needs from local shop ₹100","Groceries"
"Online course on Udemy: photography $12.99","Education"
"H&M order: shirt ₹999","Shopping"
"Prescription medications ₹250","Health"
"Subway sandwich combo ₹250","Food"
"Public transport bus fare ₹20","Travel"
"Internet Bill to ACT Fibernet ₹800","Utilities"
"PVR Movie Tickets ₹400","Entertainment"
"Physiotherapy session #3 $35","Health"
"Vegetables & fruits from mandi ₹300","Groceries"
"School fees for my kid, John ₹2500","Education"
"Amazon: sports equipment ₹1500","Shopping"
"Dental visit for a filling $75","Health"
"Cafe Coffee Day: Latte and cake ₹300","Food"
"Airport cab fare ₹400","Travel"
"Electricity bill - June ₹1350","Utilities"
"Hotstar Premium subscription ₹299","Entertainment"
"Hospital admission charges ₹5000","Health"
"Household groceries from Big Bazaar ₹1100","Groceries"
"BYJU'S tuition fee ₹2000","Education"
"Myntra: sneakers ₹1999","Shopping"
"Chemist bill for medicines ₹450","Health"
"McDonald's burger and fries ₹220","Food"
"Bus ticket to Pune ₹750","Travel"
"Water bill payment for apartment ₹380","Utilities"
"Youtube Premium subscription ₹129","Entertainment"
"Dr. A.K. Singh consultation fee ₹600","Health"
"Milk and bread from local store ₹50","Groceries"
"Codecademy Pro subscription $19.99","Education"
"Shein order: dress and accessories ₹1200","Shopping"
"Blood test charges at Pathlab ₹500","Health"
"Biryani By Kilo order: veg biryani ₹300","Food"
"Local train fare ₹10","Travel"
"Gas bill - August ₹700","Utilities"
"Netflix subscription ₹499","Entertainment"
"Health check-up at hospital ₹1500","Health"
"Groceries from Big Basket ₹950","Groceries"
"Unacademy subscription renewal ₹500","Education"
"Westside order: shirt ₹899","Shopping"
"Prescription drugs from pharmacy ₹180","Health"
"Starbucks coffee and sandwich ₹350","Food"
"Uber ride to office ₹180","Travel"
"ACT Broadband bill ₹750","Utilities"
"Bookmyshow tickets for movie ₹650","Entertainment"
"Vaccination at clinic $25","Health"
"Daily groceries from local vendor ₹250","Groceries"
"Tutor's fee for maths class ₹800","Education"
"Amazon.in order: headphones ₹1200","Shopping"
"Ayurvedic clinic visit ₹400","Health"
"Food delivery from Swiggy ₹320","Food"
"Ola Auto fare ₹50","Travel"
"Jio Prepaid Mobile Recharge ₹149","Bills"
"Big Bazaar shopping ₹780","Groceries"
"Online course on edX ₹1000","Education"
"H&M order: skirt ₹1500","Shopping"
"Dental cleaning ₹800","Health"
"Dominos pizza and cold drink ₹450","Food"
"Intercity cab fare $40","Travel"
"Electricity bill for home ₹1400","Utilities"
"Hotstar subscription renewal ₹899","Entertainment"
"Doctor's consultation and medicines $30","Health"
"Weekly ration from grocery store ₹1000","Groceries"
"Unacademy Plus subscription ₹1500","Education"
"Myntra order: tshirt and shorts ₹1300","Shopping"
"Pharmacy bill for antibiotics ₹200","Health"
"KFC zinger burger and fries ₹280","Food"
"Airport taxi fare $30","Travel"
"Airtel Postpaid Bill ₹399","Bills"
"Reliance Fresh: vegetables ₹250","Groceries"
"Tutor fee for science lessons ₹1000","Education"
"Flipkart order: charging cable ₹499","Shopping"
"Therapy session with Dr. Smith $70","Health"
"Zomato: pasta and garlic bread ₹380","Food"
"Bus pass monthly subscription ₹800","Travel"
"Gas bill for gas cylinder ₹900","Utilities"
"Netflix subscription monthly ₹499","Entertainment"
"Doctor's checkup at clinic ₹500","Health"
"Groceries from DMart ₹1500","Groceries"
"Coursera course: machine learning $50","Education"
"Westside order: jacket ₹2999","Shopping"
"Dental clinic visit for checkup ₹700","Health"
"Subway: salad and drink ₹280","Food"
"Ola ride to airport $25","Travel"
"Internet Bill payment ₹600","Utilities"
"Amazon Prime Video rental ₹199","Entertainment"
"Prescription meds from chemist ₹120","Health"
"Monthly grocery shopping ₹1200","Groceries"
"School fees for my child ₹3000","Education"
"H&M order: jeans ₹1800","Shopping"
"Medical tests at lab ₹900","Health"
"Pizza Hut: pizza and pepsi ₹500","Food"
"Train ticket to Chennai ₹1500","Travel"
"BSNL broadband bill ₹750","Utilities"
"Bookmyshow movie tickets ₹450","Entertainment"
"Hospital bill payment for visit ₹1000","Health"
"Fresh vegetables from local market ₹220","Groceries"
"Udemy course on Python ₹699","Education"
"Myntra: casual shirt ₹899","Shopping"
"Doctor's visit fee $40","Health"
"Swiggy order: chicken biryani ₹350","Food"
"Uber from station to home $10","Travel"
"Water bill payment for august ₹450","Utilities"
"Spotify Premium subscription ₹129","Entertainment"
"Health checkup at Apollo clinic $150","Health"
"Kirana shop daily needs ₹150","Groceries"
"Vedantu tuition fees for science ₹1500","Education"
"Amazon order: power bank ₹1099","Shopping"
